City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
519,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
520,Oriximina,BR,76.78,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
527,Lafia,NG,80.24,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
530,Iquique,CL,66.24,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
531,Barra,BR,82.04,broken clouds,-11.0894,-43.1417,Motel Albatroz
532,Enid,US,67.14,few clouds,36.3956,-97.8784,Ramada by Wyndham Enid
539,Salta,AR,84.49,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
540,Bhawanipatna,IN,72.01,few clouds,19.9,83.1667,Bhagirathi inn
542,Kloulklubed,PW,84.94,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
544,Paoua,CF,75.63,scattered clouds,7.2427,16.4406,Quartier Paoua Elien
545,Big Spring,US,82.11,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
546,Pallavaram,IN,76.91,mist,12.9761,80.1836,NGH Transit Hotel
548,Lucapa,AO,65.12,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
552,Labuhan,ID,78.28,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
553,Itaituba,BR,77.16,few clouds,-4.2761,-55.9836,Hotel Campos
557,Jieshi,CN,71.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
562,Teodoro Sampaio,BR,75.51,broken clouds,-22.5325,-52.1675,MINI HOTEL
563,Lethem,GY,84.33,light rain,3.3803,-59.7968,Savannah Inn
565,Rawson,AR,76.75,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
566,Canutama,BR,75.18,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
567,Tripoli,LY,65.97,overcast clouds,32.8752,13.1875,Hotel Al-Safwa
569,Namatanai,PG,79.32,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
570,Moctezuma,MX,83.05,broken clouds,29.8,-109.6667,Hotel Lobohombo
571,Itarema,BR,81.21,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
572,Mufulira,ZM,66.54,broken clouds,-12.5498,28.2407,Kamiria lodge
577,Grand-Santi,GF,79.81,light rain,4.25,-54.3833,Hotel La Villa Couacou
580,Miami,US,78.82,overcast clouds,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
582,Tuyen Quang,VN,70.99,overcast clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
583,Charters Towers,AU,75.85,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
585,Gushikawa,JP,73.4,broken clouds,26.3544,127.8686,Kirari Guest House
591,Nhulunbuy,AU,83.01,few clouds,-12.2333,136.7667,East Arnhem Real Estate
592,Marica,BR,74.26,overcast clouds,-22.9194,-42.8186,Marica Hills
593,Pitimbu,BR,81.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
594,Guiglo,CI,75.18,clear sky,6.5456,-7.4966,Hotel GBAOLY 2
596,Palmas Bellas,PA,81.25,overcast clouds,9.2319,-80.0867,Estación de Chagres
598,Meulaboh,ID,75.61,moderate rain,4.1363,96.1285,Kost Pria
601,Tevaitoa,PF,80.13,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
602,Ngunguru,NZ,72.16,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
604,Daru,PG,80.8,broken clouds,-9.0763,143.2092,Daru Lodge
606,Dong Hoi,VN,74.12,broken clouds,17.4833,106.6,Nam Long Hotel
607,Esmeraldas,BR,73.71,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
614,Valparaiso,CL,66.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
615,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
617,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
619,Clearwater,US,74.91,overcast clouds,27.9659,-82.8001,Shephard's Beach Resort
621,Palmares Do Sul,BR,65.77,clear sky,-30.2578,-50.5097,Restaurante e Pensão Lopes
626,Conceicao Do Araguaia,BR,77.86,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
628,Progreso,MX,82.51,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
629,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
630,Samarai,PG,81.66,scattered clouds,-10.6167,150.6667,Nuli Sapi
631,Phan Thiet,VN,74.8,broken clouds,10.9333,108.1,Hotel Saigon-PT
632,Konongo,GH,74.73,clear sky,6.6167,-1.2167,Alice Tee Hotel
633,Waingapu,ID,82.08,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
635,Sibolga,ID,77.05,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
636,Ayorou,NE,82.42,clear sky,14.7308,0.9174,Hotel Amenokal
637,Matias Barbosa,BR,68.65,overcast clouds,-21.8692,-43.3194,Pousada Cipriani
638,Iralaya,HN,82.49,overcast clouds,15.0,-83.2333,Iglesia morava renovada
641,Raglan,NZ,73.09,scattered clouds,-37.8,174.8833,Raglan Sunset Motel
654,Campos Belos,BR,75.92,broken clouds,-13.0367,-46.7717,Pousada Carnaúba
656,Camacari,BR,80.37,overcast clouds,-12.6975,-38.3242,Hotel Cambuci
663,Omboue,GA,76.24,moderate rain,-1.5746,9.2618,Hotel Olako
667,Paso De Carrasco,UY,79.25,clear sky,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
