City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Sapa,PH,2021-11-20 18:00:01,5.1544,120.3241,80.67,81,57,1.74
181,Kerema,PG,2021-11-20 18:01:02,-7.9631,145.7785,78.33,87,99,4.97
182,Houma,US,2021-11-20 18:01:02,29.5958,-90.7195,75.2,67,1,9.22
183,Puerto Baquerizo Moreno,EC,2021-11-20 18:01:02,-0.9,-89.6,69.66,78,60,11.05
184,Capreol,CA,2021-11-20 18:01:03,46.706,-80.9225,36.55,95,90,1.99
185,Borba,BR,2021-11-20 18:01:03,-4.3878,-59.5939,90.27,53,100,3.71
186,Bairiki,KI,2021-11-20 18:01:03,1.3292,172.9752,81.23,74,79,12.01
187,Grindavik,IS,2021-11-20 18:01:04,63.8424,-22.4338,32.47,74,75,4.61
188,Champerico,GT,2021-11-20 18:01:04,14.3,-91.9167,91.76,68,98,5.79
189,Gobabis,NA,2021-11-20 18:01:05,-22.45,18.9667,85.91,9,69,15.82
190,Saint George,US,2021-11-20 18:00:07,37.1041,-113.5841,64.87,23,99,1.03
191,Haimen,CN,2021-11-20 18:01:05,23.1935,116.6142,70.05,80,66,15.93
192,Ahipara,NZ,2021-11-20 18:01:06,-35.1667,173.1667,59.13,94,57,6.44
193,Devils Lake,US,2021-11-20 18:00:27,48.1128,-98.8651,33.91,74,7,5.99
194,Luan,CH,2021-11-20 18:01:06,46.3592,6.9759,48.92,72,15,3.87
195,Porto Belo,BR,2021-11-20 18:01:06,-27.1578,-48.5531,75.79,66,74,8.1
196,Hambantota,LK,2021-11-20 18:00:21,6.1241,81.1185,77.94,73,80,14.81
197,Mayo,US,2021-11-20 18:01:08,38.8876,-76.5119,49.12,56,70,1.99
198,Naron,ES,2021-11-20 18:01:08,43.5167,-8.1528,57.02,80,35,5.84
199,Kampong Thum,KH,2021-11-20 18:01:08,12.7111,104.8887,76.5,87,57,3.49
200,Livingstonia,MW,2021-11-20 18:01:09,-10.606,34.1063,74.37,46,46,3.78
201,Hovd,MN,2021-11-20 18:01:09,48.0056,91.6419,7.12,37,1,1.32
202,Te Anau,NZ,2021-11-20 18:01:09,-45.4167,167.7167,48.16,93,100,0.98
203,Saskylakh,RU,2021-11-20 17:57:51,71.9167,114.0833,-24.21,99,92,5.35
204,Sao Filipe,CV,2021-11-20 18:01:10,14.8961,-24.4956,78.69,78,90,4.88
205,Misratah,LY,2021-11-20 18:01:10,32.3754,15.0925,67.44,61,9,8.3
206,Halifax,CA,2021-11-20 17:57:35,44.6453,-63.5724,42.8,57,10,4.0
207,Bathsheba,BB,2021-11-20 18:01:11,13.2167,-59.5167,85.05,73,31,12.88
208,Tandil,AR,2021-11-20 18:01:11,-37.3217,-59.1332,89.31,21,0,8.01
209,Timra,SE,2021-11-20 18:01:12,62.487,17.3257,36.68,79,76,9.22
210,Yima,CN,2021-11-20 18:01:12,34.7381,111.8839,45.32,75,71,14.23
211,Apatity,RU,2021-11-20 18:01:12,67.5641,33.4031,28.87,91,100,9.98
212,Adjumani,UG,2021-11-20 18:01:13,3.3779,31.7909,75.96,50,40,2.77
213,Kiruna,SE,2021-11-20 18:01:13,67.8557,20.2251,23.92,100,90,9.22
214,Batemans Bay,AU,2021-11-20 18:01:14,-35.7167,150.1833,59.2,94,100,4.74
215,Bosaso,SO,2021-11-20 18:01:14,11.2842,49.1816,77.61,70,13,2.68
216,Weihe,CN,2021-11-20 18:01:14,32.9952,105.3247,37.92,49,83,7.25
217,Broome,US,2021-11-20 18:00:19,42.2506,-75.833,43.18,66,99,3.0
218,Tazovskiy,RU,2021-11-20 18:01:15,67.4667,78.7,-4.86,90,100,21.14
219,San Cristobal,VE,2021-11-20 18:01:15,7.7669,-72.225,87.21,37,60,3.33
220,Narsaq,GL,2021-11-20 17:57:53,60.9167,-46.05,35.22,100,100,4.41
221,Saint Anthony,US,2021-11-20 18:00:20,45.0205,-93.218,45.14,55,75,3.0
222,Santa Cruz,BO,2021-11-20 17:58:23,-17.8,-63.1667,89.65,45,20,8.05
223,Minuri,PH,2021-11-20 18:01:16,16.535,121.8574,72.34,96,98,0.6
224,Kiunga,PG,2021-11-20 18:01:17,-6.1219,141.2906,73.18,99,100,1.05
225,Miri,MY,2021-11-20 18:01:17,4.4148,114.0089,77.05,91,95,3.65
226,Necochea,AR,2021-11-20 18:01:17,-38.5473,-58.7368,92.03,27,3,6.96
227,Sulangan,PH,2021-11-20 18:02:18,11.1373,123.7228,82.89,76,86,5.26
228,Aklavik,CA,2021-11-20 18:00:17,68.2191,-135.0107,2.12,96,100,3.36
229,Lamtah,TN,2021-11-20 18:02:18,35.6667,10.8833,62.37,77,20,1.14
230,Bubaque,GW,2021-11-20 18:02:18,11.2833,-15.8333,84.74,63,0,8.43
231,Portland,US,2021-11-20 18:02:19,45.5234,-122.6762,49.44,90,90,1.01
232,Merauke,ID,2021-11-20 18:02:08,-8.4667,140.3333,79.39,88,100,11.74
233,Jaslo,PL,2021-11-20 18:02:19,49.7451,21.4725,51.89,85,92,7.87
234,Markova,UA,2021-11-20 18:02:20,48.6758,24.4138,45.99,84,20,6.17
235,Sohag,EG,2021-11-20 18:02:20,26.557,31.6948,68.31,38,25,9.04
236,Khilok,RU,2021-11-20 18:02:20,51.3674,110.4676,10.9,96,100,2.8
237,Airai,TL,2021-11-20 18:02:21,-8.9266,125.4092,62.29,90,98,1.12
238,Mendoza,AR,2021-11-20 17:59:16,-32.8908,-68.8272,87.33,25,20,6.91
239,Ancud,CL,2021-11-20 18:02:21,-41.8697,-73.8203,57.04,74,58,11.77
240,Arlit,NE,2021-11-20 18:02:22,18.7369,7.3853,85.69,13,55,8.75
241,Arauca,CO,2021-11-20 18:02:22,7.0847,-70.7591,90.95,49,78,3.11
242,Berlevag,NO,2021-11-20 17:59:51,70.8578,29.0864,30.47,72,100,26.31
243,Nuevo Progreso,MX,2021-11-20 18:02:23,23.1667,-97.95,80.89,63,60,3.0
244,Ishigaki,JP,2021-11-20 18:02:23,24.3448,124.1572,77.09,72,37,12.55
245,Haflong,IN,2021-11-20 18:02:24,25.1833,93.0333,59.79,76,9,0.72
246,Avarua,CK,2021-11-20 18:02:24,-21.2078,-159.775,77.05,69,30,4.61
247,San Matias,BO,2021-11-20 18:02:24,-16.3667,-58.4,81.88,70,93,6.89
248,Cherskiy,RU,2021-11-20 18:02:25,68.75,161.3,-19.01,93,43,1.07
249,Vila Do Maio,CV,2021-11-20 18:02:25,15.1333,-23.2167,84.99,78,97,9.93
250,Coalinga,US,2021-11-20 18:00:00,36.1397,-120.3602,58.59,89,100,6.02
251,Huinan,CN,2021-11-20 18:02:26,42.6225,126.2614,26.82,82,100,4.07
252,Mananara,MG,2021-11-20 18:02:26,-16.1667,49.7667,74.55,84,19,4.05
253,Lucapa,AO,2021-11-20 18:02:27,-8.4192,20.7447,65.82,95,75,1.41
254,Okhotsk,RU,2021-11-20 18:02:27,59.3833,143.3,7.32,80,93,20.27
255,Bhatkal,IN,2021-11-20 18:02:28,13.9667,74.5667,78.37,85,94,5.86
256,Mezen,RU,2021-11-20 18:02:28,65.8522,44.24,25.74,96,98,6.87
257,Manaure,CO,2021-11-20 18:02:28,11.7751,-72.4445,87.22,59,100,11.81
258,Esperance,AU,2021-11-20 17:59:24,-33.8667,121.9,55.24,77,3,16.64
259,Alofi,NU,2021-11-20 17:58:32,-19.0595,-169.9187,71.49,94,8,1.14
260,Kargasok,RU,2021-11-20 18:02:29,59.0556,80.8572,20.3,92,100,12.68
261,Rafai,CF,2021-11-20 18:02:29,4.95,23.9167,71.8,88,58,0.96
262,Tura,IN,2021-11-20 18:02:30,25.5198,90.2201,63.01,77,4,3.04
263,San Policarpo,PH,2021-11-20 18:02:30,12.1791,125.5072,81.1,81,36,5.39
264,Nola,IT,2021-11-20 18:02:30,40.922,14.5329,61.57,48,5,0.92
265,Nanortalik,GL,2021-11-20 18:02:31,60.1432,-45.2371,38.14,99,100,9.84
266,Byron Bay,AU,2021-11-20 18:02:31,-28.65,153.6167,71.06,91,100,5.12
267,Kondopoga,RU,2021-11-20 18:02:32,62.2057,34.2614,29.05,90,100,8.77
268,Abapo,BO,2021-11-20 18:02:32,-18.8333,-63.4667,91.31,25,10,7.34
269,Wexford,IE,2021-11-20 18:02:32,52.3342,-6.4575,51.58,87,100,12.08
270,Sangmelima,CM,2021-11-20 18:02:33,2.9333,11.9833,70.11,94,82,2.62
271,Tecpan,GT,2021-11-20 18:02:33,14.7623,-90.9947,70.56,55,100,5.32
272,Chumikan,RU,2021-11-20 18:00:29,54.7183,135.315,0.43,85,2,12.8
273,Luxor,EG,2021-11-20 18:03:34,25.6989,32.6421,69.24,39,44,7.31
274,Elizabeth City,US,2021-11-20 18:03:34,36.2946,-76.2511,57.22,58,1,11.5
275,Neiafu,TO,2021-11-20 18:03:35,-18.65,-173.9833,79.48,94,40,8.05
276,Grigiskes,LT,2021-11-20 18:03:35,54.6833,25.0833,45.7,83,75,1.99
277,Vila Franca Do Campo,PT,2021-11-20 18:03:35,37.7167,-25.4333,68.2,69,81,15.7
278,Mitsamiouli,KM,2021-11-20 18:03:36,-11.3847,43.2844,79.72,76,28,10.63
279,Hilton Head Island,US,2021-11-20 18:03:36,32.2163,-80.7526,64.99,69,1,11.5
280,Gerash,IR,2021-11-20 18:03:36,27.6652,54.1371,65.17,45,4,2.1
281,Ostrovnoy,RU,2021-11-20 18:02:47,68.0531,39.5131,31.75,81,99,8.63
282,Provideniya,RU,2021-11-20 18:00:58,64.3833,-173.3,8.64,59,11,4.0
283,Acapulco,MX,2021-11-20 18:01:33,16.8634,-99.8901,85.08,57,0,3.0
284,Magdagachi,RU,2021-11-20 18:03:37,53.45,125.8,11.68,58,100,2.17
285,Le Port,RE,2021-11-20 17:59:21,-20.9373,55.2919,77.0,89,39,5.66
286,Richards Bay,ZA,2021-11-20 18:01:51,-28.783,32.0377,67.59,66,97,5.64
287,Deulgaon Raja,IN,2021-11-20 18:03:38,20.0167,76.0333,71.2,93,86,9.66
288,Georgiyevka,KZ,2021-11-20 18:03:38,43.0369,74.7114,28.44,64,0,6.71
289,Jumla,NP,2021-11-20 18:03:38,29.2747,82.1838,43.47,68,0,3.53
290,Zyryanka,RU,2021-11-20 18:03:39,65.75,150.85,-16.65,100,94,2.44
291,Corumba,BR,2021-11-20 18:03:39,-19.0092,-57.6533,85.91,58,75,5.75
292,Chulman,RU,2021-11-20 18:03:40,56.8479,124.9104,-20.79,100,93,1.63
293,Lasa,IT,2021-11-20 18:03:40,46.6166,10.7002,42.37,55,9,1.32
294,Zambezi,ZM,2021-11-20 18:03:40,-13.5432,23.1047,66.87,87,84,4.88
