City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Khandyga,RU,62.6667,135.6,-30.08,100,93,2.57,overcast clouds
181,Qasigiannguit,GL,68.8193,-51.1922,25.05,95,100,11.41,snow
182,Roald,NO,62.5833,6.1333,40.33,75,40,6.91,scattered clouds
183,Sadovoye,RU,47.7764,44.5089,46.65,80,95,27.22,overcast clouds
184,Lata,PT,40.1629,-8.3327,57.92,82,72,4.38,broken clouds
185,Guerrero Negro,MX,27.9769,-114.0611,68.14,66,100,12.26,overcast clouds
186,Sisimiut,GL,66.9395,-53.6735,32.05,95,100,34.74,snow
187,Lavrentiya,RU,65.5833,-171.0,-0.2,83,1,6.35,clear sky
188,Mar Del Plata,AR,-38.0023,-57.5575,86.02,25,0,17.27,clear sky
189,Spencer,US,43.1414,-95.1444,48.83,47,90,13.8,overcast clouds
190,Areka,ET,7.0667,37.7,62.33,44,39,4.54,scattered clouds
191,Sucua,EC,-2.4667,-78.1667,83.14,54,40,4.61,moderate rain
192,Saga,JP,33.2493,130.2988,55.33,93,0,4.61,clear sky
193,Cidreira,BR,-30.1811,-50.2056,66.6,70,0,14.0,clear sky
194,Cururupu,BR,-1.8283,-44.8683,77.81,85,14,3.22,few clouds
195,Broome,US,42.2506,-75.833,42.46,64,1,1.99,clear sky
196,Bonavista,CA,48.6499,-53.1147,37.11,76,48,10.38,light rain
197,Salalah,OM,17.0151,54.0924,77.09,69,0,4.61,clear sky
198,Pacific Grove,US,36.6177,-121.9166,72.59,70,1,4.0,clear sky
199,Ternate,ID,0.8,127.4,81.14,79,19,3.02,few clouds
200,Yumen,CN,40.2833,97.2,15.66,66,0,8.55,clear sky
201,Srednebelaya,RU,50.6594,128.0106,-5.42,99,95,2.13,overcast clouds
202,Beloha,MG,-25.1667,45.05,72.01,83,71,6.82,broken clouds
203,Dunedin,NZ,-45.8742,170.5036,60.4,63,97,2.39,overcast clouds
204,Ilulissat,GL,69.2167,-51.1,24.82,74,100,6.91,light snow
205,Gisborne,NZ,-38.6533,178.0042,71.94,44,4,5.57,clear sky
206,Iqaluit,CA,63.7506,-68.5145,10.13,78,75,18.99,light snow
207,Chuy,UY,-33.6971,-53.4616,65.68,71,0,7.87,clear sky
208,Lebu,CL,-37.6167,-73.65,56.26,83,8,16.8,clear sky
209,Matara,LK,5.9485,80.5353,75.2,83,81,9.8,broken clouds
210,Mount Isa,AU,-20.7333,139.5,83.97,54,5,4.61,clear sky
211,Weiser,US,44.251,-116.9693,50.47,62,3,0.34,clear sky
212,Zavodoukovsk,RU,56.5042,66.5515,21.78,82,100,14.67,overcast clouds
213,Saldanha,ZA,-33.0117,17.9442,66.25,75,96,14.99,overcast clouds
214,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.32,100,100,1.57,overcast clouds
215,Porto Velho,BR,-8.7619,-63.9039,87.85,62,20,1.14,few clouds
216,Kavaratti,IN,10.5669,72.642,80.4,78,70,15.84,broken clouds
217,Carnarvon,AU,-24.8667,113.6333,69.87,83,90,12.66,light rain
218,Husavik,IS,66.0449,-17.3389,17.51,86,100,10.25,overcast clouds
219,Lock Haven,US,41.137,-77.4469,43.75,53,100,7.54,overcast clouds
220,Southbridge,US,42.0751,-72.0334,42.91,45,96,4.61,overcast clouds
221,Longyearbyen,SJ,78.2186,15.6401,4.84,85,40,10.36,scattered clouds
222,Dakar,SN,14.6937,-17.4441,79.68,94,87,6.91,overcast clouds
223,Gamba,GA,-2.65,10.0,75.22,90,100,5.08,overcast clouds
224,Baishishan,CN,43.5833,127.5667,23.79,88,100,2.93,overcast clouds
225,Hasanabad,IR,36.5465,61.0543,48.09,35,0,8.68,clear sky
226,Souillac,MU,-20.5167,57.5167,76.35,73,40,8.05,scattered clouds
227,Jiaonan,CN,35.8786,119.9753,50.02,82,89,7.76,overcast clouds
228,Atar,MR,20.5169,-13.0499,83.3,22,100,2.71,overcast clouds
229,Palmer,US,42.1584,-72.3287,43.41,47,75,4.61,broken clouds
230,Mount Gambier,AU,-37.8333,140.7667,51.71,82,37,5.75,scattered clouds
231,Goderich,CA,43.7501,-81.7165,40.21,75,100,10.36,overcast clouds
232,Sola,VU,-13.8833,167.55,81.27,83,90,0.0,overcast clouds
233,Aksu,CN,41.1231,80.2644,28.04,49,0,3.06,clear sky
234,Rocha,UY,-34.4833,-54.3333,63.14,69,0,4.81,clear sky
235,Msanga,TZ,-6.05,36.0333,72.05,50,94,8.28,overcast clouds
236,Rio Gallegos,AR,-51.6226,-69.2181,55.45,24,40,33.38,scattered clouds
237,Manta,EC,-0.95,-80.7333,78.58,73,20,11.5,few clouds
238,Ewa Beach,US,21.3156,-158.0072,85.01,57,1,10.36,clear sky
239,Sorland,NO,67.667,12.6934,36.59,61,100,29.73,overcast clouds
240,Oktyabrskoye,RU,43.0645,44.7417,30.34,100,99,6.71,mist
241,Vysokogornyy,RU,50.1167,139.15,2.66,100,87,1.77,overcast clouds
242,Foam Lake,CA,51.65,-103.5343,30.22,77,100,16.98,overcast clouds
243,Grajau,BR,-5.8194,-46.1386,82.85,64,99,3.76,moderate rain
